id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-BOL-0001,Area 43,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0002,Area 47,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0003,Area 48 bis,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0004,Area 49,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0005,Arena Orfeonica,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0006,Asse Attrezzato Sud-Ovest,,nero,5,"strada ad alta velocità (trunk, 50 km/h)",no,3,si,0,A1,
SS-BOL-0007,Ciclabile Parco Bella Fuori,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,A1,
SS-BOL-0008,Ciclabile Scandellara,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,B1,
SS-BOL-0009,Ciclopedonale di via del Pilastro,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,B1,
SS-BOL-0010,Corte de' Galluzzi,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-BOL-0011,Galleria 2 Agosto 1980,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0012,Galleria Guglielmo Marconi,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0013,Galleria del Pincio,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0014,Honore de Balzac,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0015,La Bastia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0016,La Castiglia,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-BOL-0017,Largo Alfredo Trombetti,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0018,Largo Bartolo Nigrisoli,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0019,Largo Brescia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0020,Largo Caduti del Lavoro,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0021,Largo Cardinale Giacomo Lercaro,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0022,Largo Carla Gozzi e Umberto Lugli,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0023,Largo Giovanni Ignazio Molina,,blu,2,zona pedonale / living street,no,1,si,0,A1,
SS-BOL-0024,Largo Giovanni Pico della Mirandola,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0025,Largo Giuliano Benassi,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-BOL-0026,Largo Mariele Ventre,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-BOL-0027,Largo Martiri Lager Nazisti,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0028,Largo Maurizio Pincherle,,blu,2,zona pedonale / living street,no,1,no,0,A1,
