id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-MIL-0001,"""Collegamento M3-M4""",,blu,2,zona pedonale / living street,no,1,no,0,B2,
SS-MIL-0002,Accesso Fiera Ovest,,rosso,4,strada secondaria trafficata (3 corsie),no,3,no,0,C1,
SS-MIL-0003,Alzaia Naviglio Grande,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,A1,
SS-MIL-0004,Alzaia Naviglio Pavese,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-MIL-0005,Bastioni di Porta Nuova,,rosso,4,strada secondaria trafficata (2 corsie),no,2,si,0,B2,
SS-MIL-0006,Bastioni di Porta Venezia,,rosso,4,strada secondaria trafficata,no,2,si,0,B2,
SS-MIL-0007,Bastioni di Porta Volta,,rosso,4,strada secondaria trafficata,no,2,si,0,B2,
SS-MIL-0008,Cambio Linea 2,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,C2,
SS-MIL-0009,Cambio Linea 6,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,B2,
SS-MIL-0010,Cambio Linea 7,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,A2,
SS-MIL-0011,Camminando sull'acqua,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,A1,
SS-MIL-0012,Canegrate-Pero,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,C1,
SS-MIL-0013,Cargo 8-10,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,C1,
SS-MIL-0014,Carrobbio,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-0015,Cascina Cantalupo,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,A1,
SS-MIL-0016,Cascina Cinci,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C1,
SS-MIL-0017,Cascina Gabirano,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-MIL-0018,Cascina Merlata,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C1,
SS-MIL-0019,Cascina Mettalino,,rosso,4,strada secondaria trafficata (2 corsie),no,2,no,0,C2,
SS-MIL-0020,Cascina Molino di Bonirola,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-MIL-0021,Cascina Papis,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C1,
SS-MIL-0022,Cascina Radio,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,C1,
SS-MIL-0023,Cascina Villandolo,,blu,2,accesso limitato (ZTL),no,1,no,0,A1,
SS-MIL-0024,Cavalcavia Adriano Bacula,,rosso,4,strada principale trafficata (2 corsie),no,2,si,0,C2,
SS-MIL-0025,Cavalcavia Bruno Buozzi,,rosso,4,strada secondaria trafficata (1 corsie),no,1,si,0,C2,
SS-MIL-0026,Cavalcavia Buccari,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,no,0,B2,
SS-MIL-0027,Cavalcavia Cascina Gobba,,nero,5,"strada ad alta velocità (trunk, 50 km/h)",no,2,si,0,C2,
SS-MIL-0028,Cavalcavia Don Lorenzo Milani,,rosso,4,strada secondaria trafficata,no,2,si,0,B1,
SS-MIL-0029,Cavalcavia Eugenio Bussa,,verde,1,ciclabile presente (da OpenStreetMap),si,2,si,0,B2,
SS-MIL-0030,Cavalcavia Giovanni Schiavoni,,rosso,4,strada secondaria trafficata (3 corsie),no,3,si,0,B2,
SS-MIL-0031,Cavalcavia Giuseppe Luraghi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-0032,Cavalcavia Pontinia,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-MIL-0033,Cavalcavia Renato Serra,,nero,5,"strada ad alta velocità (trunk, 70 km/h)",no,2,si,0,B1,
SS-MIL-0034,Cavalcavia del Ghisallo,,nero,5,"strada ad alta velocità (trunk, 70 km/h)",no,2,si,0,C1,
SS-MIL-0035,Children Park,,blu,2,zona pedonale / living street,no,1,no,0,C1,
SS-MIL-0036,Ciclabile Figino - Canegrate,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,C1,
SS-MIL-0037,Ciclabile Opera Mirasole,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,A2,
SS-MIL-0038,Ciclabile Pero - Molino Dorino,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,C1,
SS-MIL-0039,Ciclabile Via d’Acqua Nord,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,C1,
SS-MIL-0040,Ciclovia Staffette Partigiane,,verde,1,ciclabile presente (da OpenStreetMap),si,2,si,0,B2,
SS-MIL-0041,Circonvallazione Idroscalo,,rosso,4,strada principale trafficata (2 corsie),no,2,si,0,B2,
SS-MIL-0042,Collegamento Via Barzaghi - Via Stephenson,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C1,
SS-MIL-0043,Collegamento Via Eritrea - Via Stephenson,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,C1,
SS-MIL-0044,Complanare C2,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C1,
