id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-NAP-0001,Anfiteatro,,blu,2,zona pedonale / living street,no,1,no,0,A2,
SS-NAP-0002,Asse viario Vomero-Soccavo-Pianura,,nero,5,strada ad alta velocità (trunk),no,2,si,0,A1,
SS-NAP-0003,Atrio dell'Ospedale degli Incurabili,,blu,2,zona pedonale / living street,no,1,no,0,B2,
SS-NAP-0004,Belvedere Cesare Andrea Bixio,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-NAP-0005,Bivio di Mugnano,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-0006,Calata Capodichino,,rosso,4,strada secondaria trafficata (2 corsie),no,2,si,0,B2,
SS-NAP-0007,Calata Fontanelle,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-0008,Calata Ospedaletto,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-0009,Calata San Francesco,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A1,
SS-NAP-0010,Calata San Marco,,blu,2,zona pedonale / living street,no,1,no,0,A2,
SS-NAP-0011,Calata San Mattia,,blu,2,zona pedonale / living street,no,1,no,0,A2,
SS-NAP-0012,Calata Santi Cosma e Damiano,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-0013,Calata Trinità Maggiore,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-0014,Cavone Case Puntellate,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-0015,Cavone case puntellate,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-0016,Circumvallazione Esterna di Napoli,,nero,5,"strada ad alta velocità (trunk, 50 km/h)",no,2,si,0,B2,
SS-NAP-0017,Continuazione di Via Teano,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-0018,Contrada Abbasso Maranda,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-0019,Contrada Abbiendola,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-0020,Contrada Pisciarelli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-0021,Corso Amedeo di Savoia Duca d'Aosta,,rosso,4,strada principale trafficata (2 corsie),no,2,no,0,B2,
SS-NAP-0022,Corso Arnaldo Lucci,,rosso,4,strada secondaria trafficata,no,2,si,0,A2,
SS-NAP-0023,Corso Bruno Buozzi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-0024,Corso Chiaiano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
