id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,municipio,data_segnalazione
SS-ROM-0575,-,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0576,1st Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XI,2026-06-27
SS-ROM-0577,2nd Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0578,3rd Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0579,4th Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0580,5th Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0581,6th Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0582,7th Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0583,Acapulo Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0584,Adan Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0585,Agualeguas Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0586,Alaniz Drive,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0587,Albacore Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0588,Alcabuz Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0589,Alfredo Serna Court,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0590,Alpha Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0591,Amy Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0592,Anacua Circle,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0593,Angela Avenue,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0594,Arco degli Acquasparta,Municipio Roma II,blu,2,zona pedonale / living street,no,1,no,0,II,2026-06-27
SS-ROM-0595,Arco della Chiesa Nuova,Municipio Roma I,blu,2,zona pedonale / living street,no,1,no,0,I,2026-06-27
SS-ROM-0596,Athens Street,Municipio Roma XI,rosso,4,strada secondaria trafficata,no,2,no,0,XI,2026-06-27
SS-ROM-0597,Azalea Avenue,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0598,Azalea Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0599,Azucena Street,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-0600,Baldemar Avenue,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
